CH2O,CHO,CO,CO2,CH4,H2,H2O,CH3OH,HOCO,O2,O3,O,O(1D),N2O,NO,NO2,NO3,N2O5,H,OH,HO2,COS,SO2,H2SO4,CS2,H2S,CH3SCH3,SO3,SO,SO4,H2O2,CH3,CH3O2,CH3OOH,HNO3,S,S2,S3,S4,S8,CH2,CH,CH3O,CH2OH,NH3,NH2,NH,N,N2H4,N2H3
0.17365369E+008,0.96154498E+007,0.32727640E+015,0.20400000E+017,0.19457033E+015,0.23401506E+014,0.20107988E+008,0.50328132E+011,0.79104721E+000,0.71858109E+006,0.79015052E+000,0.67874474E+008,0.35574876E-009,0.38389730E-006,0.31771061E+005,0.20422753E+000,0.23079154E-009,0.34089330E-020,0.11484697E+007,0.47481683E+003,0.17044632E+004,0.44232362E-017,0.19600280E-001,0.46449435E+001,0.11131739E-075,0.32804824E-010,0.46115784E-051,0.11024823E+000,0.42625060E+003,0.13136338E+006,0.29756778E+001,0.51414737E+006,0.75343049E+004,0.25557410E+000,0.11562213E-006,0.29233376E+007,0.58885695E+002,0.59393718E+002,0.28894037E+004,0.29544877E+001,0.63146636E-018,0.14627133E-015,0.32951345E+006,0.15662996E+006,0.25217240E-009,0.31160775E-006,0.23230400E-004,0.30819132E+000,0.41399179E-021,0.39984332E-004
0.14520232E+008,0.87737293E+007,0.40356048E+015,0.17400000E+017,0.16278853E+015,0.27746622E+014,0.13237064E+008,0.33372737E+011,0.57062706E+000,0.93607541E+006,0.10203407E+001,0.78548320E+008,0.53643190E-009,0.27174761E-007,0.27212567E+005,0.21073184E+000,0.17940859E-009,0.25760842E-020,0.11213445E+007,0.39425536E+003,0.19514410E+004,0.46767148E-017,0.12867615E-001,0.11403064E+001,0.10090396E-075,0.23519530E-010,0.15646059E-051,0.57423701E-001,0.46920239E+003,0.99386367E+005,0.25291569E+001,0.49140863E+006,0.92790744E+004,0.36043825E+000,0.90063281E-007,0.25008323E+007,0.32772255E+002,0.33082863E+002,0.20373837E+004,0.12939892E+001,0.68892169E-018,0.13141112E-015,0.21360836E+006,0.11627450E+006,0.17341035E-010,0.25625942E-007,0.18928704E-005,0.34763163E-001,0.26295463E-023,0.39007423E-005
0.12165603E+008,0.78984268E+007,0.46494525E+015,0.14900000E+017,0.13453336E+015,0.31197020E+014,0.97612991E+007,0.21018345E+011,0.45512946E+000,0.13780187E+007,0.15524371E+001,0.95514568E+008,0.96039894E-009,0.21253775E-008,0.23128298E+005,0.23982308E+000,0.16972394E-009,0.25949953E-020,0.12269192E+007,0.36489039E+003,0.24429816E+004,0.48223670E-017,0.10703819E-001,0.27749154E+000,0.93090978E-076,0.17636294E-010,0.10702251E-051,0.28476050E-001,0.58207428E+003,0.73515859E+005,0.22490051E+001,0.47442913E+006,0.12819192E+005,0.62351112E+000,0.85479587E-007,0.21249744E+007,0.16950826E+002,0.17245790E+002,0.14421040E+004,0.58703419E+000,0.77561147E-018,0.14397276E-015,0.14569014E+006,0.82585274E+005,0.13103843E-011,0.20824971E-008,0.16701388E-006,0.40142472E-002,0.19718546E-025,0.35246886E-006
0.10496914E+008,0.71091037E+007,0.51463136E+015,0.12700000E+017,0.11169205E+015,0.33983587E+014,0.80309708E+007,0.12741602E+011,0.39716905E+000,0.22623488E+007,0.27605822E+001,0.12068206E+009,0.19926326E-008,0.18969249E-009,0.19826604E+005,0.30587028E+000,0.19553317E-009,0.35682448E-020,0.14450859E+007,0.36701275E+003,0.33359719E+004,0.51312832E-017,0.12908205E-001,0.69694853E-001,0.95163358E-076,0.14627432E-010,0.10214902E-051,0.12737716E-001,0.81518415E+003,0.54258016E+005,0.20786377E+001,0.45828423E+006,0.19870865E+005,0.13206851E+001,0.98955563E-007,0.18218680E+007,0.86268902E+001,0.88307377E+001,0.10525186E+004,0.28603088E+000,0.86906756E-018,0.17442599E-015,0.10264019E+006,0.55884362E+005,0.10190535E-012,0.16039991E-009,0.15931931E-007,0.47987253E-003,0.44142088E-027,0.29129358E-007
0.95292405E+007,0.63375432E+007,0.54207910E+015,0.10900000E+017,0.91592059E+014,0.35406916E+014,0.75337841E+007,0.72746725E+010,0.39128378E+000,0.45819751E+007,0.65430552E+001,0.16627066E+009,0.55604626E-008,0.19497067E-010,0.16841690E+005,0.45976338E+000,0.29827625E-009,0.76031371E-020,0.19550888E+007,0.42073392E+003,0.52954870E+004,0.59238982E-017,0.26655637E-001,0.18368736E-001,0.12026876E-075,0.14551003E-010,0.15311734E-051,0.49599136E-002,0.13980816E+004,0.39521928E+005,0.20936574E+001,0.43939778E+006,0.37386560E+005,0.39451941E+001,0.15228039E-006,0.15476578E+007,0.39112977E+001,0.41366305E+001,0.78451230E+003,0.14859963E+000,0.96774139E-018,0.25221490E-015,0.77754991E+005,0.35439141E+005,0.79376813E-014,0.10871276E-010,0.15919435E-008,0.57586853E-004,0.25885270E-028,0.20107531E-008
0.97494413E+007,0.58730565E+007,0.56663319E+015,0.94100000E+016,0.76732834E+014,0.36720791E+014,0.81150497E+007,0.40142814E+010,0.41609227E+000,0.95421998E+007,0.16338084E+002,0.23110261E+009,0.15994437E-007,0.24094639E-011,0.14655275E+005,0.72805990E+000,0.51068802E-009,0.19211422E-019,0.27253676E+007,0.51366888E+003,0.87404062E+004,0.82134020E-017,0.69170454E-001,0.55428809E-002,0.27492596E-075,0.17323286E-010,0.57992098E-051,0.13309709E-002,0.25287664E+004,0.29341156E+005,0.21403603E+001,0.43893104E+006,0.73546241E+005,0.12636896E+002,0.26396141E-006,0.13461818E+007,0.18708025E+001,0.20113828E+001,0.61829005E+003,0.83748845E-001,0.13201124E-017,0.42493356E-015,0.57668384E+005,0.21917277E+005,0.55812641E-015,0.63008276E-012,0.16673518E-009,0.69223594E-005,0.19360333E-029,0.11619876E-009
0.10813843E+008,0.53964302E+007,0.57566153E+015,0.81700000E+016,0.63989397E+014,0.37086355E+014,0.96451984E+007,0.20831263E+010,0.48102039E+000,0.23995768E+008,0.52268795E+002,0.34189171E+009,0.59093923E-007,0.35612377E-012,0.12721006E+005,0.13260924E+001,0.10814650E-008,0.68817414E-019,0.41470134E+007,0.68429333E+003,0.16209482E+005,0.12275781E-016,0.25475521E+000,0.26559810E-002,0.76066196E-075,0.24620251E-010,0.30506987E-050,0.26164908E-003,0.55024417E+004,0.21650833E+005,0.22907801E+001,0.42997718E+006,0.17255323E+006,0.54198636E+002,0.57072630E-006,0.11658736E+007,0.83025092E+000,0.94551512E+000,0.50006634E+003,0.49318306E-001,0.17374167E-017,0.76984965E-015,0.44534038E+005,0.12589971E+005,0.33621827E-016,0.28730929E-013,0.16903007E-010,0.78686894E-006,0.11112404E-030,0.51511647E-011
0.12844194E+008,0.49011370E+007,0.57470175E+015,0.71000000E+016,0.53382266E+014,0.36851875E+014,0.12183880E+008,0.10352494E+010,0.58229181E+000,0.69486793E+008,0.19931574E+003,0.52234011E+009,0.25959411E-006,0.60265614E-013,0.11068570E+005,0.26229266E+001,0.25642979E-008,0.29960343E-018,0.65660552E+007,0.95308030E+003,0.32331619E+005,0.18213694E-016,0.11927657E+001,0.33980386E-002,0.21058225E-074,0.37926814E-010,0.19619015E-049,0.25608576E-003,0.13743348E+005,0.15995863E+005,0.25074483E+001,0.40981873E+006,0.45532955E+006,0.28116846E+003,0.13986759E-005,0.10060774E+007,0.35461000E+000,0.44164410E+000,0.41438153E+003,0.30132785E-001,0.21244845E-017,0.13706600E-014,0.35962017E+005,0.68014094E+004,0.15753707E-017,0.97667999E-015,0.15888149E-011,0.82062207E-007,0.46357514E-032,0.16894947E-012
0.15976692E+008,0.43871915E+007,0.56539154E+015,0.61800000E+016,0.44457452E+014,0.36113084E+014,0.16003099E+008,0.52434794E+009,0.72176696E+000,0.22344355E+009,0.85518284E+003,0.80839609E+009,0.12823188E-005,0.10187636E-013,0.96348760E+004,0.51842028E+001,0.60987632E-008,0.13058702E-017,0.10589856E+008,0.13594134E+004,0.67549809E+005,0.23440981E-016,0.64971312E+001,0.72823282E-002,0.44410314E-074,0.53974915E-010,0.14392297E-048,0.17785631E-002,0.37368689E+005,0.11762329E+005,0.29895752E+001,0.38020369E+006,0.12489062E+007,0.15870704E+004,0.34977679E-005,0.85093520E+006,0.14357379E+000,0.20885637E+000,0.34899057E+003,0.18880383E-001,0.23904633E-017,0.23201522E-014,0.33396645E+005,0.36882026E+004,0.54473295E-019,0.24032127E-016,0.13447647E-012,0.76565651E-008,0.13702049E-033,0.39886833E-014
0.20171146E+008,0.38699447E+007,0.55003056E+015,0.53800000E+016,0.36940224E+014,0.35009429E+014,0.21739772E+008,0.31561661E+009,0.90443136E+000,0.75948557E+009,0.38523457E+004,0.12428254E+010,0.66475171E-005,0.14694212E-014,0.83881608E+004,0.92438497E+001,0.12915383E-007,0.45667868E-017,0.17085547E+008,0.19606169E+004,0.14388819E+006,0.21051900E-016,0.36199370E+002,0.16533575E-001,0.45972063E-074,0.55102620E-010,0.10798664E-047,0.13515931E-001,0.10050206E+006,0.86503504E+004,0.45964093E+001,0.34491490E+006,0.32026764E+007,0.85308119E+004,0.79575947E-005,0.67343053E+006,0.51210140E-001,0.10400332E+000,0.29720551E+003,0.12057762E-001,0.24568428E-017,0.36289416E-014,0.40833289E+005,0.23502947E+004,0.13518866E-020,0.42388731E-018,0.10158976E-013,0.63280410E-009,0.28471514E-035,0.67031133E-016
