CH2O,CHO,CO,CO2,CH4,H2,H2O,CH3OH,HOCO,O2,O3,O,O(1D),N2O,NO,NO2,NO3,N2O5,H,OH,HO2,COS,SO2,H2SO4,CS2,H2S,CH3SCH3,SO3,SO,SO4,H2O2,CH3,CH3O2,CH3OOH,HNO3,S,S2,S3,S4,S8,CH2,CH,CH3O,CH2OH,NH3,NH2,NH,N,N2H4,N2H3
0.25142272E+008,0.33621341E+007,0.53141339E+015,0.47000000E+016,0.30644058E+014,0.33712092E+014,0.30849167E+008,0.25670465E+009,0.11482213E+001,0.25306849E+010,0.16692369E+005,0.18730829E+010,0.33088484E-004,0.16307826E-015,0.73140333E+004,0.13712344E+002,0.22457427E-007,0.10902987E-016,0.27299027E+008,0.28616450E+004,0.29623522E+006,0.97937110E-017,0.16357625E+003,0.36206579E-001,0.12789032E-074,0.28945256E-010,0.66591973E-047,0.81680652E-001,0.22424781E+006,0.63449068E+004,0.96318971E+001,0.30777797E+006,0.70109018E+007,0.37809830E+005,0.15222064E-004,0.45102394E+006,0.13356784E-001,0.59406085E-001,0.25536555E+003,0.78253753E-002,0.22890382E-017,0.51324610E-014,0.62846744E+005,0.20081786E+004,0.23854663E-022,0.53547415E-020,0.68650324E-015,0.46226429E-010,0.41603370E-037,0.79859153E-018
0.30215676E+008,0.28647470E+007,0.50996676E+015,0.41000000E+016,0.25351493E+014,0.32243639E+014,0.45257547E+008,0.25374781E+009,0.14697788E+001,0.73545846E+010,0.61123873E+005,0.27364957E+010,0.13907713E-003,0.16578919E-016,0.63829277E+004,0.16413577E+002,0.31027534E-007,0.16668056E-016,0.42839903E+008,0.42101387E+004,0.53374325E+006,0.19101885E-017,0.45476035E+003,0.73846709E-001,0.62544779E-076,0.61502453E-011,0.25894566E-046,0.29449987E+000,0.34831857E+006,0.46388376E+004,0.20682060E+002,0.27123222E+006,0.12554776E+008,0.12000870E+006,0.23641459E-004,0.24109452E+006,0.22896560E-002,0.41203112E-001,0.22066451E+003,0.51475948E-002,0.19275362E-017,0.64906113E-014,0.99638577E+005,0.20738959E+004,0.30238480E-024,0.49385058E-022,0.42448660E-016,0.30471937E-011,0.43468570E-039,0.68553904E-020
0.34784371E+008,0.24091225E+007,0.48710743E+015,0.35900000E+016,0.20919646E+014,0.30689763E+014,0.66259826E+008,0.25342803E+009,0.18683792E+001,0.17388148E+011,0.17643981E+006,0.38746971E+010,0.46012094E-003,0.97387054E-017,0.55804355E+004,0.16388961E+002,0.34808161E-007,0.17238097E-016,0.65560706E+008,0.61450572E+004,0.79818278E+006,0.16983244E-018,0.77855627E+003,0.13644702E+000,0.65846496E-078,0.56559118E-012,0.63569984E-046,0.63448350E+000,0.39845035E+006,0.33762236E+004,0.35196894E+002,0.23760017E+006,0.18829090E+008,0.26497852E+006,0.30357756E-004,0.11666597E+006,0.33214176E-003,0.32526594E-001,0.19158720E+003,0.34323620E-002,0.14916431E-017,0.73956635E-014,0.14301612E+006,0.21564083E+004,0.27715738E-026,0.33666205E-024,0.24327698E-017,0.18475285E-012,0.33186937E-041,0.43228151E-022
0.38129656E+008,0.20168909E+007,0.46433627E+015,0.31400000E+016,0.17199350E+014,0.29140574E+014,0.93623150E+008,0.23566840E+009,0.23054148E+001,0.34137207E+011,0.40864431E+006,0.53013681E+010,0.12190920E-002,0.20390761E-016,0.48896634E+004,0.14544397E+002,0.33267818E-007,0.13480887E-016,0.96551272E+008,0.86934019E+004,0.10290759E+007,0.14198324E-019,0.99437665E+003,0.22780619E+000,0.85374089E-080,0.47646989E-013,0.11972726E-045,0.98669717E+000,0.39250952E+006,0.24368479E+004,0.46795734E+002,0.20758540E+006,0.24870504E+008,0.44448482E+006,0.33570002E-004,0.58547564E+005,0.53695890E-004,0.27215573E-001,0.16701000E+003,0.23213004E-002,0.10954639E-017,0.77182071E-014,0.17996727E+006,0.20841496E+004,0.18288354E-028,0.17096765E-026,0.12896763E-018,0.10384588E-013,0.18904365E-043,0.20388756E-024
0.39956607E+008,0.16916640E+007,0.44183441E+015,0.27500000E+016,0.14084309E+014,0.27606441E+014,0.12564221E+009,0.20051488E+009,0.27447237E+001,0.57860890E+011,0.79382644E+006,0.70477706E+010,0.27037038E-002,0.39261521E-016,0.42939762E+004,0.11954563E+002,0.28186471E-007,0.86425457E-017,0.13670542E+009,0.11847033E+005,0.11940550E+007,0.42882753E-020,0.10797967E+004,0.34641034E+000,0.15190588E-080,0.14551941E-013,0.19607789E-045,0.12692490E+001,0.36380249E+006,0.17442355E+004,0.51082471E+002,0.18120591E+006,0.30021600E+008,0.61340065E+006,0.33119661E-004,0.32021684E+005,0.10627553E-004,0.23366883E-001,0.14609305E+003,0.15943656E-002,0.78556884E-018,0.75827575E-014,0.20016655E+006,0.18422537E+004,0.89884670E-031,0.66937935E-029,0.64381776E-020,0.55439261E-015,0.83733192E-046,0.74928946E-027
0.40295696E+008,0.14206344E+007,0.41768637E+015,0.24200000E+016,0.11431484E+014,0.25968915E+014,0.15918744E+009,0.15501358E+009,0.31522522E+001,0.87031344E+011,0.13435871E+007,0.92482247E+010,0.52377360E-002,0.65987245E-016,0.37616498E+004,0.91523626E+001,0.21220926E-007,0.45652449E-017,0.18853540E+009,0.15617874E+005,0.12650085E+007,0.23153138E-020,0.10448299E+004,0.48811895E+000,0.71371336E-081,0.74925791E-014,0.28811270E-045,0.14315922E+001,0.32737150E+006,0.12348606E+004,0.46514135E+002,0.15748943E+006,0.33746790E+008,0.71993872E+006,0.29328101E-004,0.19161057E+005,0.25434196E-005,0.20223345E-001,0.12759491E+003,0.11143587E-002,0.55153515E-018,0.71582049E-014,0.19851575E+006,0.14801675E+004,0.34160231E-033,0.20786540E-031,0.30605436E-021,0.28634698E-016,0.29635153E-048,0.22132486E-029
0.39048418E+008,0.12031688E+007,0.39514788E+015,0.21200000E+016,0.92374926E+013,0.24430971E+014,0.19366578E+009,0.11428881E+009,0.34737896E+001,0.11904111E+012,0.20120966E+007,0.11789083E+011,0.89462246E-002,0.98059134E-016,0.33072179E+004,0.68031110E+001,0.14932897E-007,0.21859832E-017,0.24887569E+009,0.19692198E+005,0.12738622E+007,0.14473822E-020,0.95630527E+003,0.66451812E+000,0.43902730E-081,0.42628728E-014,0.40972463E-045,0.14881576E+001,0.29201749E+006,0.86716533E+003,0.38581273E+002,0.13652488E+006,0.35916029E+008,0.76093418E+006,0.24161321E-004,0.12498872E+005,0.74693355E-006,0.17652090E-001,0.11191450E+003,0.79916975E-003,0.39156005E-018,0.65432301E-014,0.18126076E+006,0.11351858E+004,0.10287585E-035,0.53028186E-034,0.14142516E-022,0.14539098E-017,0.87455236E-051,0.54502475E-032
0.39914236E+008,0.11236564E+007,0.38555819E+015,0.19300000E+016,0.76662236E+013,0.23692373E+014,0.24564293E+009,0.93749405E+008,0.38739904E+001,0.15346199E+012,0.26670070E+007,0.13833992E+011,0.13105239E-001,0.12916922E-015,0.30092927E+004,0.57187005E+001,0.12542824E-007,0.14223295E-017,0.31225937E+009,0.24619430E+005,0.14126950E+007,0.18406709E-020,0.98632159E+003,0.92301393E+000,0.13973174E-080,0.42279662E-014,0.19494024E-044,0.16792757E+001,0.26802303E+006,0.62116203E+003,0.40230855E+002,0.13291022E+006,0.39088126E+008,0.88627969E+006,0.22599066E-004,0.89012095E+004,0.29180320E-006,0.15991280E-001,0.10166311E+003,0.58981689E-003,0.47167455E-018,0.82537522E-014,0.17272219E+006,0.10278171E+004,0.27964314E-038,0.12446426E-036,0.72665093E-024,0.76797179E-019,0.32177123E-053,0.11909992E-034
0.40581940E+008,0.10677328E+007,0.37710619E+015,0.17700000E+016,0.63684019E+013,0.23019636E+014,0.30764534E+009,0.77562833E+008,0.42828493E+001,0.19024319E+012,0.33487610E+007,0.15953969E+011,0.18061275E-001,0.16100111E-015,0.27583590E+004,0.48434232E+001,0.10601020E-007,0.93813432E-018,0.38494982E+009,0.30369091E+005,0.15535775E+007,0.26847845E-020,0.10143521E+004,0.12580302E+001,0.60666993E-080,0.46456361E-014,0.10973180E-043,0.18737496E+001,0.24706396E+006,0.44351194E+003,0.41808685E+002,0.13150616E+006,0.41994646E+008,0.10074561E+007,0.21070845E-004,0.66208460E+004,0.12730361E-006,0.14617039E-001,0.93067806E+002,0.43913319E-003,0.61823263E-018,0.10896109E-013,0.16277867E+006,0.94725267E+003,0.76770440E-041,0.30047305E-039,0.39049659E-025,0.42125915E-020,0.11354917E-055,0.23305064E-037
0.40352121E+008,0.10066985E+007,0.36625687E+015,0.16200000E+016,0.52477723E+013,0.22196693E+014,0.37577138E+009,0.62328592E+008,0.46845071E+001,0.23062061E+012,0.40844815E+007,0.18377660E+011,0.24227529E-001,0.19479616E-015,0.25230264E+004,0.40153213E+001,0.86602966E-008,0.58314267E-018,0.47147880E+009,0.37135869E+005,0.16684526E+007,0.38351657E-020,0.10185848E+004,0.16675087E+001,0.25374050E-079,0.49815814E-014,0.57843943E-043,0.20338419E+001,0.22689399E+006,0.31315464E+003,0.41309779E+002,0.12872614E+006,0.44269586E+008,0.10984909E+007,0.19017018E-004,0.50175469E+004,0.57608762E-007,0.13345804E-001,0.85043060E+002,0.32859793E-003,0.78666231E-018,0.14051289E-013,0.14914351E+006,0.84579055E+003,0.95425667E-043,0.35683246E-041,0.21674811E-026,0.24046619E-021,0.35676935E-058,0.41196537E-040
0.39513466E+008,0.94807246E+006,0.35570848E+015,0.14900000E+016,0.43234021E+013,0.21389719E+014,0.45269574E+009,0.50117143E+008,0.51293294E+001,0.27743099E+012,0.49135618E+007,0.20999757E+011,0.31893750E-001,0.23230909E-015,0.23189900E+004,0.33441038E+001,0.71416540E-008,0.36792744E-018,0.57007077E+009,0.45236435E+005,0.17945764E+007,0.54402760E-020,0.10304723E+004,0.21725020E+001,0.10344171E-078,0.52883850E-014,0.29711241E-042,0.22153362E+001,0.20918285E+006,0.22047958E+003,0.41072744E+002,0.12548150E+006,0.46330508E+008,0.11919491E+007,0.17246702E-004,0.38468841E+004,0.27028146E-007,0.12252165E-001,0.78106252E+002,0.24791984E-003,0.99161862E-018,0.17820413E-013,0.13617130E+006,0.75383815E+003,0.71034304E-044,0.24342920E-042,0.12689068E-027,0.14476925E-022,0.10268863E-060,0.67529611E-043
0.38188938E+008,0.89154271E+006,0.34631066E+015,0.13700000E+016,0.35692081E+013,0.20648879E+014,0.54077472E+009,0.41173681E+008,0.56279243E+001,0.33394112E+012,0.58443047E+007,0.23590824E+011,0.41224692E-001,0.27399497E-015,0.21461069E+004,0.28428483E+001,0.60960085E-008,0.24594001E-018,0.67598150E+009,0.54835793E+005,0.19601322E+007,0.77332452E-020,0.10654368E+004,0.27960000E+001,0.41421881E-078,0.56052241E-014,0.15242891E-041,0.24392410E+001,0.19404600E+006,0.15575953E+003,0.42408117E+002,0.12202236E+006,0.48377843E+008,0.13112626E+007,0.15984782E-004,0.29659508E+004,0.13133256E-007,0.11330214E-001,0.72242299E+002,0.18807692E-003,0.12520809E-017,0.22267713E-013,0.12579801E+006,0.68470527E+003,0.65395888E-045,0.20463721E-043,0.79048972E-029,0.92335019E-024,0.27620154E-063,0.10449174E-045
0.36192925E+008,0.82485728E+006,0.33374360E+015,0.12600000E+016,0.29119205E+013,0.19716155E+014,0.63628782E+009,0.32874457E+008,0.61700960E+001,0.40049710E+012,0.68775421E+007,0.26622233E+011,0.53054223E-001,0.31944444E-015,0.19732664E+004,0.23573246E+001,0.50495142E-008,0.15456086E-018,0.80391640E+009,0.66830208E+005,0.21141168E+007,0.10399656E-019,0.10859181E+004,0.35154722E+001,0.15089677E-077,0.56387643E-014,0.73831638E-041,0.26418018E+001,0.17873494E+006,0.10832964E+003,0.42340242E+002,0.11694891E+006,0.49856141E+008,0.14074443E+007,0.14437834E-004,0.22790321E+004,0.62711604E-008,0.10412248E-001,0.66393333E+002,0.14267468E-003,0.15138562E-017,0.27136570E-013,0.11367590E+006,0.60284434E+003,0.62189704E-046,0.17825611E-044,0.51083411E-030,0.61588452E-025,0.67929653E-066,0.15051674E-048
0.34099717E+008,0.76345880E+006,0.32358956E+015,0.11700000E+016,0.23880517E+013,0.18925129E+014,0.74998490E+009,0.27184487E+008,0.68638020E+001,0.48591069E+012,0.81266589E+007,0.29583344E+011,0.67894529E-001,0.37370769E-015,0.18318009E+004,0.20144083E+001,0.44257705E-008,0.10647003E-018,0.93967004E+009,0.81846339E+005,0.23444430E+007,0.13994563E-019,0.11480288E+004,0.43879033E+001,0.53567664E-077,0.56738464E-014,0.36291488E-040,0.29477458E+001,0.16613236E+006,0.75504599E+002,0.45127257E+002,0.11217051E+006,0.51657147E+008,0.15622203E+007,0.13623237E-004,0.17469078E+004,0.30549217E-008,0.96625072E-002,0.61612448E+002,0.10888404E-003,0.18440376E-017,0.32708780E-013,0.10543607E+006,0.54836837E+003,0.67030820E-047,0.17741609E-045,0.37146277E-031,0.45869581E-026,0.15927761E-068,0.20808439E-051
0.31574272E+008,0.69356752E+006,0.31090453E+015,0.10800000E+016,0.19384129E+013,0.17985573E+014,0.87165063E+009,0.22169447E+008,0.76217304E+001,0.58964391E+012,0.94702810E+007,0.32744957E+011,0.86197665E-001,0.43100286E-015,0.16902320E+004,0.16968736E+001,0.38290519E-008,0.70910568E-019,0.10947590E+010,0.10062035E+006,0.25897635E+007,0.17989500E-019,0.12066012E+004,0.53432354E+001,0.17513087E-076,0.54702756E-014,0.17173738E-039,0.32367249E+001,0.15341073E+006,0.51872014E+002,0.47475531E+002,0.10618433E+006,0.52914646E+008,0.17095375E+007,0.12646402E-004,0.13301294E+004,0.14658206E-008,0.89135627E-002,0.56834962E+002,0.82943453E-004,0.21725355E-017,0.38531313E-013,0.96576220E+005,0.49057349E+003,0.19095925E-047,0.47173575E-046,0.71959371E-032,0.91503963E-027,0.35028733E-071,0.27397450E-054
0.29026579E+008,0.62449617E+006,0.29980590E+015,0.10000000E+016,0.15755141E+013,0.17137478E+014,0.10136852E+010,0.18776776E+008,0.85534016E+001,0.72583249E+012,0.11041449E+008,0.35532343E+011,0.10881931E+000,0.49723081E-015,0.15690116E+004,0.14708719E+001,0.35033454E-008,0.51545701E-019,0.12516448E+010,0.12422750E+006,0.29408814E+007,0.23077008E-019,0.13099087E+004,0.64358897E+001,0.55517899E-076,0.52514241E-014,0.82692069E-039,0.36180460E+001,0.14243766E+006,0.35559403E+002,0.53232358E+002,0.10024340E+006,0.54367378E+008,0.19298590E+007,0.12199015E-004,0.10039116E+004,0.70916481E-009,0.82729845E-002,0.52748148E+002,0.63382110E-004,0.25678756E-017,0.44716575E-013,0.90928871E+005,0.45453075E+003,0.40917947E-047,0.95529463E-046,0.10413113E-031,0.13539641E-026,0.74021862E-074,0.34968852E-057
0.26502895E+008,0.55495167E+006,0.28887073E+015,0.93200000E+015,0.12791093E+013,0.16300380E+014,0.11739122E+010,0.16177990E+008,0.97011821E+001,0.90176958E+012,0.12866172E+008,0.38177005E+011,0.13705894E+000,0.57257076E-015,0.14588355E+004,0.12880634E+001,0.33004622E-008,0.38967751E-019,0.14176822E+010,0.15468158E+006,0.33881930E+007,0.28996766E-019,0.14468728E+004,0.75970324E+001,0.16698206E-075,0.49518385E-014,0.39557681E-038,0.40785345E+001,0.13237898E+006,0.24267344E+002,0.61661562E+002,0.94221486E+005,0.55784144E+008,0.22087795E+007,0.12007027E-004,0.75150985E+003,0.34145949E-009,0.76912052E-002,0.49036554E+002,0.48343009E-004,0.30081373E-017,0.51180407E-013,0.86790187E+005,0.42727761E+003,0.12561559E-046,0.27916750E-045,0.21446450E-031,0.28451569E-026,0.15224133E-076,0.43854382E-060
0.24060515E+008,0.48467567E+006,0.27768898E+015,0.86700000E+015,0.10382053E+013,0.15454008E+014,0.13458361E+010,0.14197539E+008,0.11036494E+002,0.11264397E+013,0.14851872E+008,0.40402781E+011,0.17098446E+000,0.65296400E-015,0.13564455E+004,0.11406222E+001,0.31948674E-008,0.30565051E-019,0.15852106E+010,0.19305723E+006,0.39472853E+007,0.35956021E-019,0.16170603E+004,0.87331122E+001,0.48294636E-075,0.46235965E-014,0.18814723E-037,0.45801633E+001,0.12294794E+006,0.16472256E+002,0.73284090E+002,0.88260096E+005,0.57018693E+008,0.25483089E+007,0.11978375E-004,0.55918743E+003,0.16494853E-009,0.71508496E-002,0.45589609E+002,0.36713329E-004,0.35129403E-017,0.57952051E-013,0.83931345E+005,0.40791113E+003,0.37358774E-046,0.80070796E-045,0.42790168E-031,0.57785457E-026,0.31063997E-079,0.55190968E-063
0.21808247E+008,0.41562249E+006,0.26727500E+015,0.80800000E+015,0.84551535E+012,0.14654025E+014,0.15307648E+010,0.12867305E+008,0.12626995E+002,0.14202793E+013,0.17088199E+008,0.41988240E+011,0.21195338E+000,0.74183585E-015,0.12650286E+004,0.10323520E+001,0.32294844E-008,0.25615327E-019,0.17430008E+010,0.24140775E+006,0.46785215E+007,0.44520465E-019,0.18422693E+004,0.97962894E+001,0.13618859E-074,0.43207836E-014,0.90004484E-037,0.51609735E+001,0.11443069E+006,0.11101898E+002,0.90753499E+002,0.82674132E+005,0.58284489E+008,0.29925267E+007,0.12270482E-004,0.41311956E+003,0.80237697E-010,0.66686233E-002,0.42513799E+002,0.27710758E-004,0.41351467E-017,0.65096952E-013,0.83205529E+005,0.40106372E+003,0.10555376E-045,0.22127376E-044,0.80971910E-031,0.11082245E-025,0.63614424E-082,0.70487118E-066
0.19718709E+008,0.34781844E+006,0.25698705E+015,0.75400000E+015,0.68941211E+012,0.13862823E+014,0.17177267E+010,0.11887019E+008,0.14476497E+002,0.18031404E+013,0.19614709E+008,0.43109091E+011,0.26205937E+000,0.84038185E-015,0.11798974E+004,0.94517891E+000,0.33453843E-008,0.22227093E-019,0.18894986E+010,0.30213205E+006,0.55870256E+007,0.54410399E-019,0.21173114E+004,0.10662735E+002,0.36921028E-074,0.40027378E-014,0.42641698E-036,0.57935342E+001,0.10640927E+006,0.74187729E+001,0.11450883E+003,0.77299080E+005,0.59429397E+008,0.35338010E+007,0.12726933E-004,0.30286787E+003,0.38914365E-010,0.62196852E-002,0.39650673E+002,0.20670382E-004,0.48775117E-017,0.72393128E-013,0.83856319E+005,0.40115068E+003,0.27770115E-045,0.57762898E-044,0.14346198E-030,0.19938167E-025,0.13118786E-084,0.91825927E-069
0.17881927E+008,0.28453351E+006,0.24734958E+015,0.70500000E+015,0.56544796E+012,0.13109567E+014,0.18915999E+010,0.11202479E+008,0.16605110E+002,0.22988558E+013,0.22551838E+008,0.43875847E+011,0.32388444E+000,0.95346384E-015,0.11026256E+004,0.87775521E+000,0.35463757E-008,0.20027355E-019,0.20168720E+010,0.37708053E+006,0.66908182E+007,0.65924841E-019,0.24493234E+004,0.11218719E+002,0.97010832E-074,0.37092485E-014,0.19913411E-035,0.64980603E+001,0.99028702E+005,0.49469940E+001,0.14616695E+003,0.72476316E+005,0.60616793E+008,0.41877493E+007,0.13375846E-004,0.22130252E+003,0.18950455E-010,0.58122869E-002,0.37052747E+002,0.15160916E-004,0.58278112E-017,0.80206726E-013,0.86095861E+005,0.40897594E+003,0.67090696E-045,0.14040606E-043,0.23622745E-030,0.33498267E-025,0.27864305E-087,0.12487210E-071
0.16310170E+008,0.22782099E+006,0.23863462E+015,0.65900000E+015,0.46781107E+012,0.12405529E+014,0.20244458E+010,0.10643463E+008,0.19043910E+002,0.29400772E+013,0.26107532E+008,0.44480350E+011,0.40194282E+000,0.10931045E-014,0.10331946E+004,0.82534371E+000,0.38233720E-008,0.18599766E-019,0.21204519E+010,0.46848313E+006,0.80014681E+007,0.78478171E-019,0.28454413E+004,0.11354374E+002,0.24483839E-073,0.34416501E-014,0.91105816E-035,0.73013941E+001,0.92286784E+005,0.32821128E+001,0.18670518E+003,0.68311176E+005,0.61884177E+008,0.49510694E+007,0.14199083E-004,0.16143385E+003,0.92597100E-011,0.54462880E-002,0.34719032E+002,0.10820113E-004,0.70878477E-017,0.88751054E-013,0.89549314E+005,0.42052865E+003,0.14477774E-044,0.30904281E-043,0.35382045E-030,0.51631419E-025,0.61637233E-090,0.17934299E-074
0.13575253E+008,0.16909216E+006,0.22113165E+015,0.59300000E+015,0.37341362E+012,0.11246161E+014,0.19483743E+010,0.80985022E+007,0.20879331E+002,0.36262304E+013,0.30518621E+008,0.48572031E+011,0.52346239E+000,0.12597378E-014,0.92905406E+003,0.65481908E+000,0.31250034E-008,0.10833009E-019,0.22520985E+010,0.57039769E+006,0.83571098E+007,0.51489104E-019,0.28681883E+004,0.10496102E+002,0.16057692E-073,0.19675424E-014,0.13551816E-034,0.72668162E+001,0.82693909E+005,0.20826641E+001,0.17695066E+003,0.57237971E+005,0.58458005E+008,0.48333153E+007,0.12212747E-004,0.11742427E+003,0.40320868E-011,0.48968599E-002,0.31216213E+002,0.73559032E-005,0.53128314E-017,0.70744260E-013,0.79660249E+005,0.33189819E+003,0.15259818E-044,0.34254332E-043,0.33040392E-030,0.55133682E-025,0.11547772E-092,0.26182448E-077
0.10793229E+008,0.12058447E+006,0.20160762E+015,0.52300000E+015,0.29376407E+012,0.99959708E+013,0.17604503E+010,0.55566719E+007,0.22324259E+002,0.43967570E+013,0.35894229E+008,0.54671320E+011,0.69772414E+000,0.14601802E-014,0.82012020E+003,0.48193005E+000,0.22503560E-008,0.51124141E-020,0.23776730E+010,0.68280976E+006,0.81941731E+007,0.25045726E-019,0.27236810E+004,0.91384915E+001,0.52863441E-074,0.88624969E-015,0.11433352E-034,0.68452965E+001,0.72815158E+005,0.12914641E+001,0.14764534E+003,0.45223571E+005,0.53105193E+008,0.43025100E+007,0.95043969E-005,0.85386557E+002,0.16761976E-011,0.43221793E-002,0.27552577E+002,0.48639488E-005,0.31420435E-017,0.47289967E-013,0.65915438E+005,0.23101827E+003,0.10870976E-044,0.26294991E-043,0.23847983E-030,0.48066822E-025,0.20519350E-095,0.39594311E-080
0.85869704E+007,0.85785267E+005,0.18390842E+015,0.46100000E+015,0.23149457E+012,0.88543241E+013,0.15587350E+010,0.37432202E+007,0.23673342E+002,0.52899047E+013,0.42097261E+008,0.61892911E+011,0.92959987E+000,0.16902418E-014,0.72221939E+003,0.35094166E+000,0.15797392E-008,0.23182819E-020,0.24976030E+010,0.80988343E+006,0.79206076E+007,0.11989791E-019,0.25791508E+004,0.76876711E+001,0.17128945E-074,0.39755493E-015,0.95634089E-035,0.64478356E+001,0.63948285E+005,0.79105474E+000,0.12147954E+003,0.35779355E+005,0.48057204E+008,0.37577399E+007,0.72310078E-005,0.62412076E+002,0.69827210E-012,0.38058349E-002,0.24260921E+002,0.31491131E-005,0.18724361E-017,0.31380921E-013,0.53814917E+005,0.15810928E+003,0.73881328E-045,0.19410714E-043,0.16802680E-030,0.41450984E-025,0.50798904E-097,0.62817723E-083
0.68762440E+007,0.61833603E+005,0.16853149E+015,0.40600000E+015,0.18388359E+012,0.78466637E+013,0.13616127E+010,0.24909195E+007,0.25028310E+002,0.62997056E+013,0.49109774E+008,0.70357976E+011,0.12302324E+001,0.19520604E-014,0.63691590E+003,0.25402407E+000,0.10914854E-008,0.10281578E-020,0.26237402E+010,0.95275589E+006,0.75978140E+007,0.57591569E-020,0.24509331E+004,0.63017964E+001,0.56067768E-075,0.18062494E-015,0.79945491E-035,0.61217287E+001,0.56222577E+005,0.48251411E+000,0.10047108E+003,0.28518532E+005,0.43355013E+008,0.32392221E+007,0.54273694E-005,0.46141742E+002,0.29674300E-012,0.33560228E-002,0.21393453E+002,0.19777264E-005,0.11323632E-017,0.20839117E-013,0.43384465E+005,0.10687749E+003,0.49181639E-045,0.14022974E-043,0.11729855E-030,0.35509903E-025,0.21871323E-097,0.10546421E-085
0.50694113E+007,0.43139459E+005,0.14920253E+015,0.34400000E+015,0.14165748E+012,0.66851975E+013,0.10897738E+010,0.13729598E+007,0.25172871E+002,0.71456340E+013,0.56016141E+008,0.84740547E+011,0.16503719E+001,0.21982491E-014,0.54048910E+003,0.15581171E+000,0.57359119E-009,0.28819697E-021,0.28112343E+010,0.10890908E+007,0.64786237E+007,0.16885874E-020,0.20755459E+004,0.48304704E+001,0.58435308E-076,0.54444821E-016,0.25153218E-035,0.52213853E+001,0.47714568E+005,0.28431367E+000,0.68277039E+002,0.20472267E+005,0.36197005E+008,0.23438578E+007,0.32894823E-005,0.34574791E+002,0.11825857E-012,0.28476175E-002,0.18152515E+002,0.11711033E-005,0.44085233E-018,0.10285939E-013,0.29729927E+005,0.57213398E+002,0.18473349E-045,0.58159260E-044,0.56958022E-031,0.22843114E-025,0.32867011E-098,0.18177548E-088
0.35002807E+007,0.29171456E+005,0.12859477E+015,0.28300000E+015,0.10626333E+012,0.55101697E+013,0.80959230E+009,0.66207211E+006,0.24037114E+002,0.77962761E+013,0.62180400E+008,0.10605715E+012,0.22217746E+001,0.24061592E-014,0.44401506E+003,0.83755882E-001,0.24047226E-009,0.55410595E-022,0.30470214E+010,0.12030093E+007,0.50355320E+007,0.34201088E-021,0.16146990E+004,0.35010651E+001,0.26137626E-077,0.12076118E-016,0.39004579E-036,0.40823638E+001,0.39287047E+005,0.16288156E+000,0.42076167E+002,0.13539902E+005,0.28375842E+008,0.14723428E+007,0.16567323E-005,0.26131520E+002,0.44832357E-013,0.23391016E-002,0.14910896E+002,0.66551594E-006,0.12349545E-018,0.40382527E-014,0.17862179E+005,0.25883384E+002,0.44399303E-046,0.15745022E-044,0.20961914E-031,0.11817691E-025,0.20901715E-099,0.31936089E-091
0.24070555E+007,0.19779521E+005,0.11115500E+015,0.23100000E+015,0.79685106E+011,0.45215342E+013,0.59215328E+009,0.31993393E+006,0.22431437E+002,0.84177192E+013,0.67658683E+008,0.13192974E+012,0.29435029E+001,0.25881514E-014,0.36331238E+003,0.44297139E-001,0.96832770E-010,0.10016252E-022,0.32953783E+010,0.12951170E+007,0.38804114E+007,0.67991374E-022,0.12556882E+004,0.24885926E+001,0.11264800E-078,0.26598502E-017,0.59154852E-037,0.31560267E+001,0.32211730E+005,0.92299353E-001,0.27996129E+002,0.89124414E+004,0.21943519E+008,0.90320971E+006,0.79668651E-006,0.19873053E+002,0.17244428E-013,0.19138266E-002,0.12199918E+002,0.37398583E-006,0.34082425E-019,0.15451166E-014,0.10499155E+005,0.11675084E+002,0.10041353E-046,0.40413717E-045,0.74875759E-032,0.59342039E-026,0.11798913E-100,0.57554331E-094
0.16526480E+007,0.13588674E+005,0.96637041E+014,0.18800000E+015,0.59836276E+011,0.37032189E+013,0.43168836E+009,0.15624815E+006,0.20555239E+002,0.89931022E+013,0.72185900E+008,0.16328787E+012,0.38293749E+001,0.27300457E-014,0.29683143E+003,0.23167857E-001,0.37770611E-010,0.17305325E-023,0.35781274E+010,0.13614940E+007,0.29846440E+007,0.13584532E-022,0.97686249E+003,0.17499797E+001,0.48008118E-080,0.58538587E-018,0.87642551E-038,0.24235507E+001,0.26366724E+005,0.51597172E-001,0.20039843E+002,0.58522665E+004,0.16793291E+008,0.54732412E+006,0.36941410E-006,0.15248311E+002,0.67755079E-014,0.15635551E-002,0.99670658E+001,0.20793768E-006,0.92512595E-020,0.57856346E-015,0.60914123E+004,0.52942628E+001,0.22161827E-047,0.10098601E-045,0.26634303E-032,0.29451866E-026,0.62958881E-102,0.10530286E-096
